Encounter.mediaAsset0,Encounter.mediaAsset1,Encounter.mediaAsset2,Encounter.mediaAsset3,Encounter.mediaAsset4,Encounter.mediaAsset5,Encounter.mediaAsset6,Encounter.mediaAsset7,Encounter.mediaAsset8,Encounter.mediaAsset9,Encounter.locationID,Encounter.verbatimLocality,Encounter.decimalLatitude,Encounter.decimalLongitude,Encounter.year,Encounter.month,Encounter.day,Encounter.hour,Encounter.minutes,Encounter.occurrenceRemarks,Encounter.photographer0.fullName,Encounter.photographer0.affiliation,Encounter.photographer0.emailAddress,Encounter.genus,Encounter.specificEpithet,Encounter.submitterX.affiliation,Encounter.submitterX.emailAddress,Encounter.state,Encounter.mediaAsset0.keywords,Encounter.Keywords0,Encounter.Keywords1,Encounter.mediaAsset1.keywords,Encounter.mediaAsset2.keywords,Encounter.mediaAsset3.keywords,Encounter.mediaAsset4.keywords,Encounter.mediaAsset5.keywords,Encounter.mediaAsset6.keywords,Encounter.mediaAsset7.keywords,Encounter.mediaAsset8.keywords,Encounter.mediaAsset9.keywords,Encounter.measurement0,Encounter.measurement1,Encounter.measurement2,Encounter.distinguishingScar,Encounter.livingStatus,Encounter.lifeStage,Encounter.depth,Encounter.behavior,Encounter.sex,Encounter.individualID,Encounter.identificationRemarks,Encounter.informOtherX.affiliation,Encounter.informOtherX.emailAddress,Encounter.informOtherX.fullName,Encounter.submitterOrganization,TissueSample.sampleID
00024_-_00_02_43_750_-_655_ID135_box820.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_02_58_750_-_715_ID156_box913.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_12_00_-_768_ID180_box992.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_14_750_-_779_ID179_box1015.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_17_250_-_789_ID187_box1056.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_20_00_-_800_ID195_box1081.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_26_00_-_824_ID218_box1178.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_26_00_-_824_ID210_box1176.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_29_00_-_836_ID220_box1202.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_29_750_-_839_ID222_box1210.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_29_750_-_839_ID223_box1211.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_38_750_-_875_ID237_box1349.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_39_750_-_879_ID239_box1366.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_40_00_-_880_ID237_box1373.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_41_00_-_884_ID246_box1408.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_45_750_-_903_ID259_box1465.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_03_46_500_-_906_ID261_box1476.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
00024_-_00_04_03_250_-_973_ID301_box1632.jpg,,,,,,,,,,Little Cayman,,,,2015,,,,,,Brice,Grouper Moon,Brice,Epinephelus ,striatus,,,unapproved,,,,,,,,,,,,,,,,,alive,adult,,,,,,,,,,
